home_id,price,area,living_area,kitchen_area,number_of_rooms,status,furnishing_status,bathroom,floor,total_floors,built_year,address,with_makler,home_ad_link
1103,240000.0,104.0,83.2,20.8,3,new,unfurnished,,10,16,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/kislorod-sotuvda-3-xonalik-korobka-seoul-mun-yakkasaroy-ID43UBI.html
1104,17500.0,35.39,35.39,35.39,1,new,unfurnished,private,8,10,2024.0,Chirchiq,False,https://www.olx.uz/d/oz/obyavlenie/karvon-bozorda-yanqi-qurilgan-uylarda-1-2-xonalik-uylarimiz-bor-ID44lwQ.html
1105,142000.0,110.0,110.0,22.0,4,new,unfurnished,private,6,10,,Olmazor,False,https://www.olx.uz/d/oz/obyavlenie/navastryoka-dom-sotiladi-lyuks-remont-kvartira-ID44qwZ.html
1106,45000.0,54.0,44.0,8.0,3,new,furnished,private,2,4,2021.0,Nazarbek,False,https://www.olx.uz/d/oz/obyavlenie/uy-sotiladi-nazarbekda-ID43z1M.html
1107,190000.0,104.0,83.2,20.8,3,new,furnished,,7,10,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/milano-sotuvda-3-xonalik-uy-remont-8-roddom-glinka-ID43rqI.html
1108,245000.0,116.0,92.8,23.2,3,new,furnished,,5,10,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/barocco-sotuvda-3-xonalik-uy-remont-gidrometcenter-moliya-instituti-ID43rpt.html
1109,170000.0,200.0,160.0,40.0,5,new,unfurnished,,7,7,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/novostroyka-sotuvda-5-xonalik-korobka-yakkasaroy-tumani-ID430aY.html
1110,110000.0,35.0,28.0,7.0,1,new,furnished,,5,12,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/green-island-sotuvda-1-xonalik-uy-remont-sodiq-azimov-kochasi-c-1-ID4309K.html
1111,350000.0,88.0,70.4,17.6,3,new,furnished,,3,14,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/infinity-sotuvda-3-xonalik-uy-remont-c-1-sodiq-azimov-kochasi-efendi-ID3Ymbs.html
1112,330000.0,86.0,68.8,17.2,3,new,furnished,,3,7,,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/boulevard-sotuvda-3-xonalik-uy-remont-tashkent-city-shayxontohur-ID43dTH.html
1113,126000.0,47.0,37.6,9.4,1,new,unfurnished,,7,14,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/infinity-sotuvda-1-xonalik-korobka-c-1-sodiq-azimov-kochasi-ID43Cq5.html
1114,170000.0,60.0,48.0,12.0,2,new,unfurnished,private,13,51,,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/sotiladi-novostrojka-nest-one-centr-korobka-60m2-haqiqiy-druzhba-ID43JbE.html
1115,700000.0,145.0,116.0,29.0,3,new,furnished,,6,7,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/gabus-sotuvda-3-xonalik-uy-remont-c-1-yaponiya-elchixonasi-ID43le6.html
1116,180000.0,85.0,68.0,17.0,3,new,furnished,,3,10,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/barocco-sotuvda-3-xonalik-uy-remont-gidrometcenter-yunusobod-ID43CsN.html
1117,66000.0,68.0,68.0,25.0,2,new,unfurnished,shared,8,10,2023.0,Uchtepa,False,https://www.olx.uz/d/oz/obyavlenie/uchtepa-tumani-uy-sotiladi-2-8-10-eski-uy-bozir-ornida-qurilga-68-8-kv-ID43pdj.html
1118,512000000.0,58.0,58.0,14.0,2,new,unfurnished,,14,16,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/navastrojka-2-14-16-korobka-kvartira-okolo-roxat-metro-v-yashnobode-ID43ErX.html
1119,280000000.0,43.0,40.0,10.0,1,new,unfurnished,private,3,9,,To'ytepa,False,https://www.olx.uz/d/oz/obyavlenie/toshkent-viloyat-markazidan-xonadon-egasi-boling-xalol-nasiya-savdo-ID3S2Zo.html
1120,168999.0,116.0,92.8,23.2,3,new,unfurnished,private,15,25,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/arzon-narxda-akay-city-3kom-korobka-116m2-darxan-haqiqiy-ID43hLQ.html
1121,125000.0,85.0,68.0,17.0,3,new,unfurnished,,1,7,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/barocco-sotuvda-3-xonalik-korobka-moliya-instituti-yunusobod-ID3XTPa.html
1122,220000.0,106.0,84.8,21.2,4,new,furnished,,7,10,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/darkhan-avenue-sotuvda-4-xonalik-telman-parki-mirzo-ulugbek-ID43Gba.html
1123,226999.0,85.0,68.0,17.0,3,new,unfurnished,private,6,12,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/srochno-arzon-mirabad-avenue-3kom-golden-house-85m2-gospitalnyj-ID43iDl.html
1124,96999.0,60.0,48.0,12.0,2,new,furnished,shared,10,14,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/srochno-arzon-zarafshon-city-2kom-60m2-piramid-ul-bobura-podklyuch-ID43iwe.html
